article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc,img_folder,img_id,img_path
351332007,351332,Marshall Lace up Top,252,Sweater,Garment Upper body,1010018,Treatment,7,Grey,2,Medium Dusty,12,Grey,5962,Jersey Fancy DS,D,Divided,2,Divided,58,Divided Selected,1005,Jersey Fancy,"Jumper in a soft, fine-knit viscose blend with a V-neck and lacing at the top. Long raglan sleeves with ribbed cuffs, and a rounded hem. Slightly longer at the back.",35,351332007,./images/035/0351332007.jpg
420049002,420049,OL TAGE PQ,87,Boots,Shoes,1010016,Solid,13,Beige,2,Medium Dusty,11,Beige,3040,Premium Quality,C,Ladies Accessories,1,Ladieswear,64,Womens Shoes,1020,Shoes,"Ankle boots in imitation suede with a padded top edge, lacing at the front, a loop at the back and a zip in the side. Fabric linings and insoles and chunky rubber soles. Heel 3.5 cm.",42,420049002,./images/042/0420049002.jpg
420049003,420049,OL TAGE PQ,87,Boots,Shoes,1010016,Solid,23,Dark Yellow,4,Dark,11,Beige,3040,Premium Quality,C,Ladies Accessories,1,Ladieswear,64,Womens Shoes,1020,Shoes,"Ankle boots in imitation suede with a high shaft with a padded edge and lacing with speed hooks at the top. Pile linings, canvas insoles and chunky rubber soles. Heel 3.5 cm.",42,420049003,./images/042/0420049003.jpg
426199002,426199,Ellen Shortie Daisy Low 3p,286,Underwear bottom,Underwear,1010016,Solid,9,Black,4,Dark,5,Black,1334,Casual Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear",Long-sleeved tops in soft jersey with a rounded hem. The cotton content of the tops is organic.,42,426199002,./images/042/0426199002.jpg
426199010,426199,Ellen Shortie Daisy Low 3p,286,Underwear bottom,Underwear,1010017,Stripe,8,Dark Grey,4,Dark,12,Grey,1334,Casual Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Hipster briefs in cotton jersey with a low waist, lined gusset, wide sides and medium coverage at the back.",42,426199010,./images/042/0426199010.jpg
426199018,426199,Ellen Shortie Daisy Low 3p,286,Underwear bottom,Underwear,1010006,Dot,7,Grey,1,Dusty Light,12,Grey,1334,Casual Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear",Hipster briefs in cotton jersey with a lined gusset.,42,426199018,./images/042/0426199018.jpg
426199019,426199,Ellen Shortie Daisy Low 3p,286,Underwear bottom,Underwear,1010017,Stripe,43,Dark Red,4,Dark,18,Red,1334,Casual Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear",Hipster briefs in cotton jersey with a lined gusset.,42,426199019,./images/042/0426199019.jpg
426199021,426199,Ellen Shortie Daisy Low 3p,286,Underwear bottom,Underwear,1010017,Stripe,8,Dark Grey,4,Dark,12,Grey,1339,Clean Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Hipster briefs in cotton jersey with a low waist, lined gusset, wide sides and medium coverage at the back.",42,426199021,./images/042/0426199021.jpg
426199027,426199,Ellen Shortie Daisy Low 3p,286,Underwear bottom,Underwear,1010014,Placement print,6,Light Grey,1,Dusty Light,12,Grey,1334,Casual Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Hipster briefs in cotton jersey with a mid waist, lined gusset, wide sides and medium coverage at the back.",42,426199027,./images/042/0426199027.jpg
426199028,426199,Ellen Shortie Daisy Low 3p,286,Underwear bottom,Underwear,1010010,Melange,8,Dark Grey,4,Dark,12,Grey,1339,Clean Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Shortie briefs in soft jersey made from a cotton blend with a mid waist, lined gusset, low-cut legs and medium coverage at the back. The cotton content of the briefs is organic.",42,426199028,./images/042/0426199028.jpg
426199029,426199,Ellen Shortie Daisy Low 3p,286,Underwear bottom,Underwear,1010017,Stripe,8,Dark Grey,2,Medium Dusty,12,Grey,1339,Clean Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Hipster briefs in cotton jersey with a mid waist, lined gusset, wide sides and medium coverage at the back.",42,426199029,./images/042/0426199029.jpg
469039001,469039,Henrik ballerina,86,Ballerinas,Shoes,1010016,Solid,9,Black,4,Dark,5,Black,3527,Flats,C,Ladies Accessories,1,Ladieswear,64,Womens Shoes,1020,Shoes,"Loafers in imitation suede with a grosgrain trim at the top. Satin linings, imitation leather insoles and thermoplastic rubber (TPR) soles.",46,469039001,./images/046/0469039001.jpg
469039019,469039,Henrik ballerina,86,Ballerinas,Shoes,1010016,Solid,9,Black,4,Dark,5,Black,3527,Flats,C,Ladies Accessories,1,Ladieswear,64,Womens Shoes,1020,Shoes,"Loafers in soft imitation suede with a moccasin seam at the front. Fabric linings, imitation leather insoles and rubber soles. Heel 1.5 cm.",46,469039019,./images/046/0469039019.jpg
469039024,469039,Henrik ballerina,86,Ballerinas,Shoes,1010016,Solid,33,Dark Orange,7,Medium,18,Red,3527,Flats,C,Ladies Accessories,1,Ladieswear,64,Womens Shoes,1020,Shoes,Loafers with a decorative tab and moccasin seam at the front. Cotton canvas linings and imitation leather insoles. Heel 1.5 cm.,46,469039024,./images/046/0469039024.jpg
469039028,469039,Henrik ballerina,86,Ballerinas,Shoes,1010016,Solid,43,Dark Red,4,Dark,18,Red,3527,Flats,C,Ladies Accessories,1,Ladieswear,64,Womens Shoes,1020,Shoes,Loafers with a decorative tab and seam at the front. Cotton canvas linings and insoles and rubber soles. Heel 1.5 cm.,46,469039028,./images/046/0469039028.jpg
469039032,469039,Henrik ballerina,86,Ballerinas,Shoes,1010010,Melange,7,Grey,4,Dark,12,Grey,3527,Flats,C,Ladies Accessories,1,Ladieswear,64,Womens Shoes,1020,Shoes,"Loafers in a soft, fine-knit wool blend with a grosgrain trim at the top and a grosgrain loop at the back. Imitation leather insoles and thermoplastic rubber (TPR) soles.",46,469039032,./images/046/0469039032.jpg
469039033,469039,Henrik ballerina,86,Ballerinas,Shoes,1010016,Solid,93,Dark Green,4,Dark,19,Green,3527,Flats,C,Ladies Accessories,1,Ladieswear,64,Womens Shoes,1020,Shoes,Ballet pumps with a grosgrain trim around the top. Satin linings and insoles and rubber soles.,46,469039033,./images/046/0469039033.jpg
469039034,469039,Henrik ballerina,86,Ballerinas,Shoes,1010016,Solid,12,Light Beige,1,Dusty Light,11,Beige,3527,Flats,C,Ladies Accessories,1,Ladieswear,64,Womens Shoes,1020,Shoes,Loafers in imitation suede with a grosgrain trim at the top. Imitation leather linings and insoles and thermoplastic rubber (TPR) soles.,46,469039034,./images/046/0469039034.jpg
469039035,469039,Henrik ballerina,86,Ballerinas,Shoes,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,3527,Flats,C,Ladies Accessories,1,Ladieswear,64,Womens Shoes,1020,Shoes,"Loafers in soft imitation suede with a small, decorative bow at the front. Satin linings, imitation leather insoles and smooth soles.",46,469039035,./images/046/0469039035.jpg
469039040,469039,Henrik ballerina,86,Ballerinas,Shoes,1010001,All over pattern,14,Dark Beige,2,Medium Dusty,13,Brown,3527,Flats,C,Ladies Accessories,1,Ladieswear,64,Womens Shoes,1020,Shoes,"Loafers in crocodile-patterned imitation leather with pointed toes. Satin linings, imitation leather insoles and smooth soles.",46,469039040,./images/046/0469039040.jpg
469039047,469039,Henrik ballerina,86,Ballerinas,Shoes,1010001,All over pattern,13,Beige,2,Medium Dusty,11,Beige,3527,Flats,C,Ladies Accessories,1,Ladieswear,64,Womens Shoes,1020,Shoes,"Loafers with pointed toes. Satin linings, imitation leather insoles and smooth soles.",46,469039047,./images/046/0469039047.jpg
493438001,493438,Leo seamless t-shirt,255,T-shirt,Garment Upper body,1010010,Melange,8,Dark Grey,4,Dark,12,Grey,8316,Ladies Sport Bras,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,Fitted sports top in fast-drying functional fabric with short raglan sleeves. Seamless.,49,493438001,./images/049/0493438001.jpg
493438002,493438,Leo seamless t-shirt,255,T-shirt,Garment Upper body,1010010,Melange,63,Dark Purple,2,Medium Dusty,6,Lilac Purple,8316,Ladies Sport Bras,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,Fitted sports top in fast-drying functional fabric with short raglan sleeves and jacquard-patterned details. Seamless.,49,493438002,./images/049/0493438002.jpg
493438005,493438,Leo seamless t-shirt,255,T-shirt,Garment Upper body,1010016,Solid,82,Turquoise,2,Medium Dusty,7,Turquoise,8316,Ladies Sport Bras,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,Fitted sports top in fast-drying functional fabric with short raglan sleeves and jacquard-patterned details. Seamless.,49,493438005,./images/049/0493438005.jpg
493438012,493438,Leo seamless t-shirt (1),255,T-shirt,Garment Upper body,1010010,Melange,9,Black,4,Dark,5,Black,8316,Ladies Sport Bras,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,Fitted sports top in fast-drying functional fabric with short raglan sleeves and jacquard-patterned details. Seamless.,49,493438012,./images/049/0493438012.jpg
493438013,493438,Leo seamless t-shirt (1),255,T-shirt,Garment Upper body,1010010,Melange,73,Dark Blue,4,Dark,2,Blue,8316,Ladies Sport Bras,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,Fitted sports top in fast-drying functional fabric with short raglan sleeves and ventilating mesh panels at the sides. 67% of the polyester is recycled.,49,493438013,./images/049/0493438013.jpg
493438014,493438,Leo seamless t-shirt (1),255,T-shirt,Garment Upper body,1010010,Melange,53,Dark Pink,4,Dark,4,Pink,8316,Ladies Sport Bras,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,Fitted sports top in fast-drying functional fabric with short raglan sleeves and ventilating mesh panels at the sides. 67% of the polyester is recycled.,49,493438014,./images/049/0493438014.jpg
493438015,493438,Leo seamless t-shirt (1),255,T-shirt,Garment Upper body,1010010,Melange,52,Pink,3,Light,4,Pink,8316,Ladies Sport Bras,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,Fitted sports top in fast-drying functional fabric with short raglan sleeves and ventilating mesh panels at the sides. 67% of the polyester is recycled.,49,493438015,./images/049/0493438015.jpg
493438018,493438,Leo seamless t-shirt (1),255,T-shirt,Garment Upper body,1010010,Melange,82,Turquoise,1,Dusty Light,19,Green,8316,Ladies Sport Bras,S,Sport,26,Sport,5,Ladies H&M Sport,1005,Jersey Fancy,Fitted sports top in fast-drying functional fabric with short raglan sleeves and ventilating mesh panels at the sides. 67% of the polyester is recycled.,49,493438018,./images/049/0493438018.jpg
